user_id,book_ids,keywords
004d5e96c8a318aeb006af50f8cc949c,"{0: ['6148028', '23437156', '11387515', '4667024', '3'], 1: ['19063', '15507958', '17347389', '2728527', '8664353', '13335037'], 2: ['11735983', '136251', '22489107', '17378527', '2213661', '7171637'], 3: ['8621462', '7260188', '8909152', '12294652', '18692431', '256683'], 4: ['2767052', '28187']}","{0: ['sentence', 'live', 'driven', 'stiefvater', 'returned', 'skeeter', 'spirit', 'lived', 'ocean', 'tiny', 'people', 'crew', 'mom', 'aboard', 'wise'], 1: ['life', 'crew', 'disease', 'raft', 'story', 'lives', 'neil', 'divergence', 'wildly', 'rebellion', 'gansey', 'moving', 'selected', 'things', 'slaying'], 2: ['graveyard', 'club', 'suddenly', 'll', 'day', 'cinder', 'bod', 'divergentplaylist', 'tale', 'returns', '13', 'spins', 'welcome', 'life', 'acerbic'], 3: ['details', 'destroyed', 'catches', 'mail', 'neil', 'know', 'clockwork', 'battle', 'unbroken', 'somebody', 'stare', 'angel', 'policy', 'tell', 'suffocating'], 4: ['defeat', 'voices', '2007', 'outside', 'stronger', 'house', 'cruel', 'place', 'transforms', 'fall', 'stairs', 'shock', 'timeless', 'certain', 'traynor']}"
0088ac052921fbdad6145c29322f9144,"{0: ['16096824', '13206828', '14061957', '23437156', '6148028'], 1: ['16069030', '22489107', '14290364'], 2: ['13206900', '12294652', '8490112', '23395680', '22055262', '8755785', '2767052', '15745753'], 3: ['13206760', '10194157', '14061955', '18798983', '9627755'], 4: ['13104080', '13414446', '7896527', '13188676']}","{0: ['katniss', 'saga', 'emerged', 'kaz', 'smart', 'orders', 'shahrzad', 'regiment', 'messy', 'satellite', 'friend', 'learns', 'adam', 'televised', 'court'], 1: ['june', 'draws', 'crown', 'make', 'dusty', 'princeps', 'lunar', 'keeping', 'warriors', 'arin', 'rules', 'lies', 'selected', 'purse', 'lie'], 2: ['kell', 'star', 'head', 'love', 'time', 'collect', 'dystopian', '13th', 'dazzling', 'shadowhunters', 'want', 'shadowhunter', 'stronger', 'region', 'circles'], 3: ['disappearing', 'dies', 'isla', 'alina', 'shahrzad', 'make', 'summer', 'knows', 'closely', 'believes', 'wanted', 'catching', 'traitor', 'country', 'starlight'], 4: ['deeper', 'unravel', 'new', 'imagined', 'accomplice', 'tantalizing', 'curse', 'finally', 'thorne', 'spins', 'signed', 'paranormal', 'scorched', 'celaena', 'tahereh']}"
0102db8db2097cd4482ebc20b7b2d5be,"{0: ['23437156', '17347389', '18007564', '16101128', '18692431', '20560137'], 1: ['14061957', '15283043', '13188676', '14290364'], 2: ['16096824', '23395680', '14061955', '13104080', '20613470', '15783514', '8490112', '25494343'], 3: ['11235712', '18460392', '17878931'], 4: ['11870085', '18798983', '16248068', '13414446']}","{0: ['selling', 'laia', 'stay', 'ekes', 'lady', 'adam', 'spence', 'rewritten', 'omega', 'fall', 'picture', 'suicide', 'lu', 'elias', 'second'], 1: ['crown', 'doorways', 'knife', 'draws', 'ravka', 'niven', 'mean', 'land', 'watney', 'security', 'existence', 'sixteen', 'regret', 'suspense', 'tantalizing'], 2: ['strangers', 'forever', 'laneis', 'claimed', 'drink', 'characters', 'fold', '2575', 'juliette', 'thought', 'survived', 'kingdom', 'land', 'place', 'deadliest'], 3: ['die', 'devil', 'niven', 'benefits', 'aching', 'regime', 'circumstances', 'captured', 'try', 'suspense', 'strength', 'violet', 'ledge', 'poverty', 'shop'], 4: ['deeper', 'group', 've', 'academy', 'parabataito', 'stone', 'dance', 'times', 'environment', 'star', 'terrifying', 'things', 'shoulder', 'barely', 'america']}"
0150e283198c0dd64c35d3962486e047,"{0: ['11870085', '22557272', '38447', '5310515', '15745753'], 1: ['9969571', '6493208', '7445', '1618', '28187', '16160797'], 2: ['18143977', '19063', '7937843', '8664353', '9361589', '4667024', '11387515'], 3: ['2213661', '8621462'], 4: ['2728527', '15507958', '136251', '3', '2429135']}","{0: ['spray', 'outskirts', 'literary', 'tall', 'ovaries', 'read', 'eleanor', 'superbly', 'shares', 'unable', 'protected', 'prize', 'train', 'women', 'mom'], 1: ['knew', 'strike', 'friend', 'open', 'land', 'pragmatic', 'pleasure', 'school', 'overhead', 'wiping', 'spell', 'russia', 'camp', 'power', 'puzzles'], 2: ['pacific', 'old', 'terrible', '2007', 'town', 'desperate', 'mystery', 'told', 'launched', 'beautiful', 'grew', 'sharks', 'dangers', 'new', 'munich'], 3: ['impossible', 'immortal', 'death', 'pragmatic', 'conor', 'close', 'cozy', 'valued', 'tragedy', 'testament', 'alternate', 'scenes', 'past', 'statement', 'watch'], 4: ['hazel', 'ward', 'takes', 'alive', 'puzzles', 'steady', 'master', 'ness', 'unexpected', 'gave', 'teenager', 'survive', 'ugly', 'recent', 'occupation']}"
018fb46979eaef202859956d5ccb905b,"{0: ['11235712', '13206900', '8490112', '11735983', '15704307'], 1: ['7260188', '8621462', '136251', '3', '14061955', '6381205'], 2: ['11870085', '18007564', '6148028', '13206760', '15745753', '10194157'], 3: ['16096824', '9969571', '16068905'], 4: ['13206828', '15783514', '19358975', '9627755', '14061957']}","{0: ['sets', 'kill', 'ended', 'new', 'stirring', 'winter', 'rich', 'adults', 'people', 'stakes', 'killing', 'lifetime', 'throne', 'figure', 'pig'], 1: ['just', 'dad', 'duo', 'kills', 'mechanic', 'lives', 'earth', 'weekly', 'mother', 'separated', 'living', 'raging', 'slit', 'feels', 'refusal'], 2: ['succeeds', 'know', 'edition', 'gone', 'college', 'gale', 'ago', 'civilized', 'alina', 'evacuate', 'brutally', '13', 'grisha', 'deeply', 'sussex'], 3: ['cath', 'districts', 'distance', 'clue', 'beset', 'mechanic', 'learn', 'talk', 'tunnels', 'suddenly', 'acts', 'refugee', 'sides', 'obscured', 'victoria'], 4: ['destroy', 'vampires', 'accomplice', 'daring', 'oncoming', 'lettie', 'signed', 'haunted', 'cress', 'brian', 'tour', 'stephanie', 'stranger', 'tracker', 'faerie']}"
01ec1a320ffded6b2dd47833f2c8e4fb,"{0: ['29541818', '18739485', '24241524', '20613920', '32801953', '22324683'], 1: ['17447588', '30731416', '23155890', '15852756'], 2: ['26252659', '31140847', '30326616', '23355069', '18135913', '25630718'], 3: ['22227607', '33023650', '31116984'], 4: ['23270403', '20332278', '18756982', '17798233', '30326632', '23734628']}","{0: ['screamed', 'killed', 'liam', 'enemies', 'stacked', 'killian', 'think', 'smile', 'renowned', 'mysterious', 'open', 'second', 'subjects', 'new', 'advice'], 1: ['keeping', 'curling', 'drunk', 'men', 'duty', 'schizophrenia', 'kind', 'wearing', 'looks', 'brynne', 'lost', 'pretend', 'shell', 'pu', 'gorgeous'], 2: ['store', 'kissing', 'decision', 'cloud', 'hovered', 'repair', 'earth', 'abandoned', 'chances', 'hot', 'checkered', 'thought', 'white', 'seventeen', 'alexa'], 3: ['dispatcher', 'disguised', 'better', 'nerd', 'climbing', 'triggers', 'men', 'carraway', 'need', 'half', 'tables', 'story', 'admit', 'proves', 'sets'], 4: ['despite', 'vote', 'imperfect', 'friend', 'addictive', 'note', 'tired', 'damaged', 'son', 'stars', 'seven', 'theirs', 'twice', 'malone', 'living']}"
0223a9592bfaf2edce5a348a293c254b,"{0: ['28597587', '26252659', '34452618', '31751644', '24241524', '23582846', '28477789'], 1: ['33838194', '33979867', '31314066', '31358845', '29636247', '34434780'], 2: ['32468167', '34234466', '33402134', '33510961', '32797060', '32796217'], 3: ['25573737', '33558912', '31121852'], 4: ['24964922', '30656509', '34757163']}","{0: ['scantily', 'jewels', 'dominant', 'soon', 'simple', 'job', 'relationships', 'real', 'looks', 'nerve', 'text', 'owns', 'enter', 'afford', 'wind'], 1: ['competitor', 'despite', 'jackson', 'months', 'jobs', 'malone', 'man', 'die', 'sexual', 'weekend', 'boss', 'saved', 'encounters', 'pretend', 'heart'], 2: ['finally', 'started', 'difference', 'jules', 'challenged', 'interested', 'camera', 'today', '1qm9tfp', 'coughed', 'whispered', 'maybe', 'world', 'agrees', 'succumbs'], 3: ['dates', 'darker', 'brochure', 'townsend', 'ways', 'months', 'left', 'supposed', 'celebrity', 'tongue', 'believed', 'ventured', 'station', 'adopted', 'public'], 4: ['crossing', 'use', 'tool', 'goal', 'admits', 'nyt', 'conjured', 'hell', 'tied', 'spinning', 'edge', 've', 'nicknamed', 'sitting', 'seduction']}"
03ee3491e69b0c9f1171edcdd3d74446,"{0: ['13206760', '13104080', '16143347', '14290364', '20613470'], 1: ['23437156', '22489107', '7171637', '15283043', '10025305', '18460392'], 2: ['13206828', '13206900', '12294652', '18798983', '17347389', '18007564'], 3: ['11735983', '9627755', '7896527', '25494343'], 4: ['2767052', '17378508', '15839984', '9361589']}","{0: ['screen', 'held', 'republic', 'fan', 'state', 'small', 'long', 'mysterious', 'help', 'succeeds', 'imprisoned', 'admired', 'throat', 'formed', 'make'], 1: ['tessa', 'discover', 'excellent', 'heartache', 'experiment', 'king', 'scarlet', 'heritage', 'shatter', 'knows', 'warriors', 'forces', 'insights', 'prisoner', 'juliette'], 2: ['garretts', 'stranded', 'cabeswater', 'high', 'rescue', 'country', 'extraordinary', 'sure', 'family', 'colonies', 'transporting', 'time', 'series', '13th', 'drama'], 3: ['end', 'encounter', 'king', 'turns', 'sweet', 'act', 'radical', 'continues', 'bride', 'choosing', 'france', 'perkins', 'stranger', 'horrors', 'shadowhunters'], 4: ['easy', 've', 'acrobats', 'graceling', 'circus', 'millions', 'dispensed', 'castle', 'tower', 'stiff', 'finish', 'spence', 'sequel', 'threatens', 'participate']}"
0463195008e097e167d15e3e7b98a9f1,"{0: ['15858248'], 1: ['17200687', '17340050', '15731779', '15739018', '17156015'], 2: ['17448960', '17158596', '11505797', '17267122', '18468559', '18134894'], 3: ['17333880', '18593175', '20639274', '16109563', '13596809', '18301124', '16062211', '12578077'], 4: ['16073738', '22843341', '17255265', '16001893', '16093188']}","{0: ['school', 'harboring', 'exquisite', 'spotted', 'slavery', 'recovering', 'maddox', 'hard', 'money', 'holiday', 'actually', 'test', 'firm', 'secrets', 'marks'], 1: ['defy', 'shaw', 'harper', 'like', 'end', 'happened', 'live', 'inside', 'entice', 'warning', 'intended', 'savior', 'plain', 'president', 'thumb'], 2: ['emily', 'fresh', 'stole', 'harsh', 'contains', 'entwined', 'development', 'sure', 'time', 'clanging', 'breath', 'fast', 'sex', 'wanted', 'abandon'], 3: ['driving', 'drugged', 'company', 'silver', 'live', 'prescott', 'came', 'beautiful', 'beginning', 'sooner', 'cardigans', 'travis', 'sessions', 'wanting', 'tormented'], 4: ['dishes', 'cash', 'unremarkable', 'accepted', 'man', 'meant', 'started', 'gavin', 'demon', 'seven', 'boy', 'thousands', 'female', 'sold', 'terrified']}"
046f761c04a73d4eb65f0f8684bdaa8b,"{0: ['18143977', '15783514', '4667024', '20170404', '9969571', '16181775', '1618', '43641'], 1: ['11870085', '15507958', '11387515', '7445', '77203', '16160797'], 2: ['22557272', '18007564', '6493208', '8442457'], 3: ['6148028', '8621462', '38447'], 4: ['2767052', '19063', '15745753', '5310515']}","{0: ['spellbinding', 'like', 'park', 'taken', 'world', 'suicide', 'women', 'protect', 'ambitious', 'realization', 'shadow', 'actor', 'poignant', 'participate', 'misfits'], 1: ['kid', 'fingers', 'panem', 'known', 'prime', 'possibility', 'rowling', 'southwest', 'partner', 'wing', 'storm', 'probably', 'scary', 'prevented', 'position'], 2: ['lacks', 'passages', 'deeply', 'terrifying', 'needed', 'dark', 'shape', 'girl', 'steadfastly', '12', 'commuter', 'atmospheric', 'told', 'touched', 'natural'], 3: ['hunger', 'house', 'monster', 'collins', 'create', 'age', 'prime', 'scares', 'deal', 'unusual', 'wife', 'cancer', 'towns', 'theater', 'state'], 4: ['grown', 'wants', 'foster', 'north', 'afghanistan', 'radio', 'televised', 'uncover', 'mark', 'sure', 'statistical', 'turn', 'region', 'consists', 'participate']}"
